recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
,,,3,ka_0028_14.08.grating.YPos.mat,,,4.5,,,,,,,,
,,29,1,ka_0029_14.18.grating.XPos.mat,,,3,,,yes,"on serotonin side, 30 um",,,,
,,,2,ka_0029_14.19.grating.YPos.mat,,,5,,,,,not sorted - MUA,,,
04.12.2016,"+1,-2",30,1,ka_0030_12.39.grating.XPos.mat,,,2.5,,,yes,"on NaCl side, 80 um",,,,
,,,2,ka_0030_12.40.grating.XPos.mat,,,2,,,,,,,,
,,,5,ka_0030_12.42.grating.YPos.mat,,,3,,,,,,,,
,,,6,ka_0030_12.43.grating.ORxM.mat,,,3,,,,,,,,
,,,7,ka_0030_12.46.grating.SF.mat,,,2.5,,,,,,,,
,,,8,ka_0030_12.47.grating.OR.mat,control,,2.5,,,,,,,,
,,,9,ka_0030_12.48.grating.OR.mat,5HT_10nA,1.2,2.5,,,,,,,,
,,,10,ka_0030_12.50.grating.TF.mat,control,,3,,,,,,,,
,,,11,ka_0030_12.51.grating.OR.mat,control,,2.5,,,,,,,,
,,,12,ka_0030_12.53.grating.OR.mat,control,,3,,,,,,,,
,,,13,ka_0030_12.56.grating.OR.mat,control,,3.5,,,,,,,,
,,,14,ka_0030_12.58.grating.OR.mat,control,,3,0-30,Jan 48,,,,,,
,,,15,ka_0030_13.00.grating.OR.mat,control,,3,,,,,,,,
,,,16,ka_0030_13.02.grating.OR.mat,control,,3,,,,,,,,
,,,17,ka_0030_13.04.grating.OR.mat,NaCl_10nA,0.2,3,,,,,,,,
,,,18,ka_0030_13.06.grating.OR.mat,control,,3,,,,,,,,
,,,19,ka_0030_13.08.grating.OR.mat,NaCl_10nA,0.2,3.5,,,,,,,,
,,,20,ka_0030_13.10.grating.OR.mat,control,,2.5,,,,,,,,
04/13/2016,"-1,-8",31,1,ka_0031_11.45.grating.XPos.mat,,,"c1=1,c2=1",,,no,,,,,
,,,2,ka_0031_11.46.grating.YPos.mat,,,"c1=1,c2=1",,,,,,,,
,,,3,ka_0031_11.47.grating.ORxM.mat,,,"c1=1,c2=1",,,,,,,,
,,,5,ka_0031_11.50.grating.SF.mat,,,"c1=1,c2=1",,,,,,,,
,,,6,ka_0031_11.51.grating.OR.mat,control,,"c1=1,c2=1",,,,,,,,
,,,7,ka_0031_11.52.grating.OR.mat,5HT_10nA,0,"c1=1,c2=2",,,,,,,,
,,,8,ka_0031_11.54.grating.OR.mat,control,,c1=2.5,,,,,looks like different unit,,,
,,,9,ka_0031_11.55.grating.TF.mat,control,,c1=2.5,,,,,,,,
,,,11,ka_0031_11.58.grating.OR.mat,control,,c1=2.5,,,,,,,,
,,,12,ka_0031_12.01.grating.OR.mat,control,,c1=3,,,,,,,,
,,,13,ka_0031_12.03.grating.OR.mat,NaCl_10nA,0,c1=2.5,,,,,,,,
,,,15,ka_0031_12.06.grating.CO.mat,control,,c1=3,0-37,Jan 50,,,,,,
,,,16,ka_0031_12.07.grating.CO.mat,5HT_10nA,0,c1=3,,,,,,,,
,,,17,ka_0031_12.08.grating.CO.mat,control,,c1=3,,,,,,,,
,,,18,ka_0031_12.10.grating.CO.mat,control,,c1=2.5,,,,,,,,
,,,19,ka_0031_12.13.grating.CO.mat,control,,c1=2.5,,,,,,,,
,,,20,ka_0031_12.14.grating.CO.mat,5HT_20nA,0.1,c1=2.5,,,,,,,,
,,,21,ka_0031_12.16.grating.CO.mat,control,,c1=2.5,,,,,,,,
,,,22,ka_0031_12.17.grating.CO.mat,5HT_40nA,0.2,c1=2,,,,,,,,
,,,23,ka_0031_12.18.grating.CO.mat,control,,c1=3,,,,,,,,
,,,24,ka_0031_12.20.grating.CO.mat,control,,c1=1,,,,,,,,
,,,25,ka_0031_12.21.grating.CO.mat,5HT_60nA,0.3,c1=2,,,,,,,,
,,,26,ka_0031_12.23.grating.CO.mat,control,,c1=2,,,,,,,,
,,,27,ka_0031_12.25.grating.CO.mat,NaCl_60nA,1.7,c1=2,,,,,,,,
,,,28,ka_0031_12.26.grating.CO.mat,control,,c1=2,,,,,,,,
,,,29,ka_0031_12.27.grating.CO.mat,NaCl_60nA,1.7,c1=2,,,,,,,,
,,,30,ka_0031_12.28.grating.CO.mat,control,,c1=2.5,,,,,,,,
,,32,1,ka_0032_13.03.grating.XPos.mat,,,2.5,,,no,,,,,
,,,2,ka_0032_13.03.grating.YPos.mat,,,3,,,,,,,,
,,,3,ka_0032_13.05.grating.XPos.mat,,,2.5,,,,,,,,
,,,4,ka_0032_13.05.grating.YPos.mat,,,3,,,,,,,,
,,,6,ka_0032_13.09.grating.ORxM.mat,,,3,,,,,,,,
,,,7,ka_0032_13.12.grating.SF.mat,,,2.5,,,,,,,,
,,,8,ka_0032_13.13.grating.OR.mat,control,,3,,,,,,,,
,,,9,ka_0032_13.15.grating.OR.mat,5HT_10nA,0,3.5,,,,,,,,
,,,10,ka_0032_13.16.grating.OR.mat,control,,3.5,,,,,,,,
,,,11,ka_0032_13.18.grating.TF.mat,control,,3.5,,,,,,,,
,,,12,ka_0032_13.20.grating.OR.mat,control,,3.5,,,,,,,,
,,,13,ka_0032_13.22.grating.OR.mat,control,,4,,,,,,,,
,,,14,ka_0032_13.24.grating.OR.mat,NaCl_10nA,0.1,4.5,,,,,,,,
,,,15,ka_0032_13.26.grating.OR.mat,control,,4.5,,,,,,,,
04/14/2016,"+4,-2",33,1,ka_0033_16.00.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0033_16.02.grating.XPos.mat,,,1,,,,,,,,
,,,3,ka_0033_16.03.grating.XPos.mat,,,1,,,,,,,,
,,,4,ka_0033_16.04.grating.YPos.mat,,,1,,,,,,,,
,,,5,ka_0033_16.05.grating.XPos.mat,,,1,,,,,,,,
,,,6,ka_0033_16.06.grating.XPos.mat,,,1.5,,,,,,,,
,,,7,ka_0033_16.07.grating.ORxM.mat,,,2,,,,,,,,
,,,8,ka_0033_16.10.grating.SF.mat,,,3,,,,,,,,
,,,9,ka_0033_16.11.grating.OR.mat,control,,3,,,,,,,,
,,,10,ka_0033_16.13.grating.OR.mat,5HT_10nA,1.3,4,,,,,,,,
,,34,1,ka_0034_16.59.grating.XPos.mat,,,1.5,,,no,,,,,
,,,2,ka_0034_17.00.grating.YPos.mat,,,2,,,,,,,,
,,,3,ka_0034_17.01.grating.ORxM.mat,,,3.5,,,,,,,,
,,35,340004,ka_0035_17.11.grating.ORxM.mat,,,4.5,,,no,,nev file is 0034_4,,,
04/15/2016,"+6,-7",36,1,ka_0036_11.49.grating.XPos.mat,,,4.5,,,no,,,,,
,,,2,ka_0036_11.49.grating.YPos.mat,,,5,,,,,,,,
,,,3,ka_0036_11.52.grating.ORxM.mat,,,3.5,,,,,,,,
,,,4,ka_0036_11.55.grating.SF.mat,,,5,,,,,,,,
,,,5,ka_0036_11.58.grating.OR.mat,,,"c1=4,c2=4",,,,,,,,
,,37,1,ka_0037_12.20.grating.XPos.mat,,,"c1=3,c2=3.5",,,no,,,,,
,,,2,ka_0037_12.21.grating.YPos.mat,,,"c1=3,c2=3",,,,,,,,
,,,3,ka_0037_12.22.grating.YPos.mat,,,"c1=2,c2=2",,,,,,,,
,,,4,ka_0037_12.23.grating.ORxM.mat,,,c1=4,,,,,,,,
,,,5,ka_0037_12.26.grating.SF.mat,,,c1=4,,,,,,,,
,,,6,ka_0037_12.27.grating.OR.mat,control,,c1=3,,,,,,,,
,,,7,ka_0037_12.29.grating.OR.mat,5HT_10nA,0.4,c1=2,,,,,,,,
